Clasificación_D,Nombre de Institución,Measure Names,Measure Values
(a) Universidades Estatales CRUCH,U. DE CHILE,N° Volumenes / Matrícula Total,77.180071391
(a) Universidades Estatales CRUCH,U. DE AYSEN,N° Volumenes / Matrícula Total,3.885786802
(a) Universidades Estatales CRUCH,U. DE ATACAMA,N° Volumenes / Matrícula Total,9.533725202
(a) Universidades Estatales CRUCH,U. DE ANTOFAGASTA,N° Volumenes / Matrícula Total,25.838183643
(a) Universidades Estatales CRUCH,U. ARTURO PRAT,N° Volumenes / Matrícula Total,11.784447247
(a) Universidades Estatales CRUCH,U. TECNOLÓGICA METROPOLITANA,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DEL BÍO-BÍO,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE VALPARAÍSO,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE TARAPACÁ,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE TALCA,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE SANTIAGO DE CHILE,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE O HIGGINS,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE MAGALLANES,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE LOS LAGOS,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE LA SERENA,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE LA FRONTERA,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE CHILE,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE AYSEN,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE ATACAMA,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. DE ANTOFAGASTA,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. ARTURO PRAT,Matrícula Total / Mts2 Salas de Estudio ,
(a) Universidades Estatales CRUCH,U. TECNOLÓGICA METROPOLITANA,Matrícula Total/ Mts2 contruidos Bibliotecas,3.916700694
(a) Universidades Estatales CRUCH,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total/ Mts2 contruidos Bibliotecas,
(a) Universidades Estatales CRUCH,U. DEL BÍO-BÍO,Matrícula Total/ Mts2 contruidos Bibliotecas,2.009315718
