,Institución,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año,region
23,Centro de Ciencias Ambientales,1,1,0,0,1.0,2014,Región del Biobío
24,Centro de Desarrollo Urbano Sustentable,1,2,100,0,0.5,2014,Región del Biobío
25,Centro de Investigacion de Polimeros Avanzados,18,13,73,27,1.4,2014,Región del Biobío
26,Centro de Salud Familiar,1,1,0,100,1.0,2014,Región del Biobío
27,Centro de Ciencia del Clima y la Resiliencia,2,3,33,67,0.7,2014,Región del Biobío
28,Hospital Naval Almirante Adriazola,1,1,100,0,1.0,2014,Región del Biobío
29,Instituto de Ecologia y Biodiversidad,1,1,100,0,1.0,2014,Región del Biobío
30,Instituto Forestal,1,2,100,0,0.5,2014,Región del Biobío
31,Consorcio Genómica Forestal,2,4,75,25,0.5,2014,Región del Biobío
32,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,51,22,90,10,2.3,2014,Región del Biobío
33,Instituto Milenio de Oceanografía,2,1,100,0,2.0,2014,Región del Biobío
34,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,4,100,0,0.3,2014,Región del Biobío
0,Asociación Chilena de Seguridad,3,1,100,0,3.0,2014,Región de Ñuble
1,Hospital Clínico Herminda Martin,2,2,50,50,1.0,2014,Región de Ñuble
2,Instituto de Investigaciones Agropecuarias,1,1,0,100,1.0,2014,Región de Ñuble
3,Universidad de Concepción,57,86,64,36,0.7,2014,Región de Ñuble
4,Universidad del Bío Bío,64,67,70,30,1.0,2014,Región de Ñuble
5,Universidad Pedro de Valdivia,1,3,33,67,0.3,2014,Región de Ñuble
6,Instituto de Investigaciones Agropecuarias,8,9,78,22,0.9,2014,Región de Ñuble
0,Corp Nacl Cobre,1,1,100,0,1.0,2015,Región del Libertador General Bernardo O'Higgins
1,Hospital Regional de Rancagua,3,4,100,0,0.8,2015,Región del Libertador General Bernardo O'Higgins
2,Centro de Estudios Avanzados en Fruticultura,10,20,74,26,0.5,2015,Región del Libertador General Bernardo O'Higgins
3,Instituto de Investigaciones Agropecuarias,2,6,50,50,0.3,2015,Región del Libertador General Bernardo O'Higgins
0,Hospital Regional de Talca,7,15,55,45,0.5,2015,Región del Maule
1,Pontificia Universidad Católica de Chile,1,1,0,100,1.0,2015,Región del Maule
2,Universidad Autónoma de Chile,52,35,76,24,1.5,2015,Región del Maule
3,Universidad Católica del Maule,63,70,76,24,0.9,2015,Región del Maule
4,Universidad Católica del Norte,1,1,0,100,1.0,2015,Región del Maule
5,Universidad de Chile,1,1,0,100,1.0,2015,Región del Maule
6,Universidad de Talca,326,349,70,30,0.9,2015,Región del Maule
7,Universidad Santo Tomás,2,2,100,0,1.0,2015,Región del Maule
8,Centro de Estudios Avanzados en Fruticultura,4,8,86,14,0.5,2015,Región del Maule
9,Comision Nacional de Investigacion Cientifica y Tecnologica,2,1,100,0,2.0,2015,Región del Maule
10,Centro de Estudios en Alimentos Procesados,3,2,50,50,1.5,2015,Región del Maule
11,Nucleo Milenio Ecología Molecular y Aplicaciones Evolutivas en Agroecosistemas,5,7,86,14,0.7,2015,Región del Maule
